标题,类型,版本类型,版本名称或出处,策略,作者名义,版权所有者名义,发布源URL,简介
Midnight Fairy Tale,0,0,,4,しーけー,TunerGames,https://www.bilibili.com/video/BV1JQ4y1E7vq/,
WORLDCALL,0,0,,4,Blacklolita,TunerGames,https://www.bilibili.com/video/BV1ga4y127da/,
